Pincode,Volumetric Lat,Volumetric Long
711224,21.98582279,87.99107102
999996,22.75455923,88.00680084
711327,23.21073739,87.95820065
711323,25.79703816,87.97300596
711001,25.12348379,87.98946273
711402,21.92910784,87.98555244
711416,22.08287505,87.94932345
743301,23.1342339,87.96949115
743505,25.47821914,87.92969386
711406,23.06422824,87.99024247
734222,27.03919776,88.37333202
734434,26.57888793,88.34436333
734313,26.97025236,88.36332565
734213,27.07943661,88.34661783
733207,26.3793076,88.36846804
711311,21.92581707,87.90056079
701101,23.54340025,87.91450665
701102,25.20655646,87.91107299
712153,23.58536412,87.99670373
734123,25.14161764,87.8673351
734436,25.36297564,87.86239016
743399,22.00113958,88.31798769
711328,22.55938718,87.81216488
712224,22.19258002,87.77091241
734105,27.06983916,88.29022345
734101,27.04263779,88.25719513
742410,23.87322976,88.27610443
734124,24.47844185,87.73401921
734431,22.25738725,87.72980704
734103,27.03397703,88.25183042
732146,22.22646438,87.67200811
732156,23.20440445,87.73434504
743351,22.08104474,88.25099001
742185,24.34333856,87.67847298
742286,24.88172265,87.56304118
742000,21.96931766,87.64363279
712411,25.5142314,87.22992452
734425,26.50642483,88.23286204
734426,26.58788111,88.27195681
734104,27.0742242,88.25692791
734121,25.99128447,87.52074458
742151,24.36897658,88.21690835
742148,24.41608154,88.24649825
734102,27.02646972,88.24121291
732141,25.06500092,88.18242471
712426,25.03887002,87.59649725
712705,24.6956151,87.66460797
743515,24.53241112,87.55168185
737121,27.16582403,88.21655158
733202,26.24885673,88.21310102
712701,22.71495838,88.18549295
712514,23.12286467,88.46713508
712513,23.01493554,88.40561417
732001,25.83664104,87.39275012
743318,22.38887571,88.1479574
742404,23.8154412,88.16340559
734221,27.06243301,88.10181637
734216,26.95768852,88.16551629
712706,22.76305728,88.15036328
821118,25.28976751,87.32938342
743356,25.23800812,87.41097619
732216,24.84868597,88.12541727
743373,21.73285189,88.11238374
742136,24.07401334,88.11983115
734201,27.09856988,88.1816221
733210,26.03370656,88.08400333
713361,23.65879699,86.90305858
712404,22.71467684,88.09631959
732102,25.1395039,88.07364167
712424,26.09877876,87.21159264
732213,25.13185862,87.14600505
742139,25.31913346,87.20649701
742403,24.53703801,87.11342505
733208,26.04956229,87.99866176
732208,25.03607112,88.03935662
732211,23.26643961,87.15678587
721631,21.98582279,87.99107102
712408,22.75455923,88.00680084
713149,23.21073739,87.95820065
732214,22.04306747,87.1253472
733215,25.79703816,87.97300596
732204,25.12348379,87.98946273
721646,21.92910784,87.98555244
721656,22.08287505,87.94932345
713124,23.1342339,87.96949115
732140,25.47821914,87.92969386
713408,23.06422824,87.99024247
721431,21.86442174,87.93353211
732209,25.03506357,87.98287976
732202,25.06133692,87.92743947
721650,22.02156798,87.90046205
721625,22.06881518,87.88774995
721432,21.92581707,87.90056079
713147,23.54340025,87.91450665
732205,25.20655646,87.91107299
712418,23.47645727,86.9395731
713132,23.58536412,87.99670373
732203,25.14161764,87.8673351
732125,25.36297564,87.86239016
721430,21.95493458,87.81807231
721148,22.55938718,87.81216488
721642,22.19258002,87.77091241
854116,25.48039382,87.70916103
854112,25.29778506,87.78557545
855105,25.71041184,87.67693136
816106,24.47844185,87.73401921
721644,22.25738725,87.72980704
713431,21.61042195,86.91477362
721455,21.69380762,87.68608846
721155,22.22646438,87.67200811
713142,23.20440445,87.73434504
855114,25.60136225,87.73735785
816117,24.34333856,87.67847298
816102,24.88172265,87.56304118
721456,21.96931766,87.64363279
840001,20.95768481,86.86991908
854101,25.5142314,87.22992452
731132,24.03779749,87.62716338
721144,22.1482775,87.64262559
721440,21.9766849,87.59811584
854325,25.99128447,87.52074458
721454,22.05799408,87.60892225
721156,22.50003755,87.58894279
713153,23.49860147,87.55457545
721438,21.96353133,87.5487243
845113,26.42249019,86.78486441
845115,23.69535271,86.77421241
845116,22.28823795,86.74568499
845117,24.36402867,86.82195583
845119,24.62298984,86.71797664
845120,21.3371115,86.74750293
852136,25.90507547,86.72235937
852145,25.31228651,86.73405612
852154,21.7136778,86.73608274
854124,22.46104822,86.72908833
854125,22.94866117,86.29254939
854126,26.05343165,86.89402569
854127,26.21571328,87.03115662
855122,22.67479905,86.71670962
855124,20.99086364,86.67171802
816120,25.03887002,87.59649725
816104,24.6956151,87.66460797
814111,24.53241112,87.55168185
721166,22.20197407,87.53830497
721467,22.12109478,87.52658135
731214,23.65332585,87.53062852
721439,22.02789205,87.53386272
852233,22.45473074,86.57344605
853206,21.07011132,86.61423752
853208,20.9934664,86.60892696
854001,24.96454661,86.5700189
854207,22.26768509,86.57010892
854209,21.03396519,86.58432311
854319,20.96310678,86.59106015
854349,20.85392286,86.53864383
854350,20.80387701,86.5545053
854352,23.72627559,86.54036862
854353,21.86273286,86.67242859
854364,23.82466215,86.55493314
854365,21.14049092,86.55454316
855126,24.06578328,86.63444664
855128,25.65074876,86.57768473
855276,25.96983524,86.13874474
855315,25.75618337,86.49170872
854369,22.24253917,86.49388067
854358,20.1896711,86.45798239
813208,25.16470178,87.48349769
731145,23.99583392,86.43218596
713387,25.98827645,86.4677885
854304,25.83664104,87.39275012
813209,25.32653709,87.4512039
854303,25.73015787,87.42937364
854108,25.62535766,87.4086493
814156,24.76831026,87.34896311
721437,22.18332774,87.41624507
813222,25.28976751,87.32938342
813206,25.23800812,87.41097619
854201,25.95435624,87.32087011
721464,22.89932646,86.37735126
721667,24.25690468,86.38876091
721669,23.06958655,86.39308066
721315,20.3222871,86.33079781
854104,25.50010482,87.38583205
721624,22.13294819,87.95152105
854306,25.82858818,87.29904304
854114,25.60667297,87.28761787
814124,21.2779873,86.33805907
814102,24.54278176,87.25153022
813204,25.18155989,87.24202693
721164,22.12686789,86.34169977
721135,22.16884971,87.16337835
854334,26.09877876,87.21159264
813205,25.13185862,87.14600505
853205,25.31913346,87.20649701
814145,24.53703801,87.11342505
721516,22.59678876,87.12225392
854338,26.49088094,86.95470443
722176,23.26643961,87.15678587
722174,21.23881714,86.3129592
854336,26.43624619,87.10579621
813113,20.35106849,86.27569931
713160,20.22100097,86.24848986
731141,21.16213992,86.2470008
721125,22.04884086,86.98784333
854335,26.29569228,87.12048923
721159,22.04306747,87.1253472
721143,22.17933905,87.0901015
756029,21.66067443,87.06949458
722143,23.55997766,87.07876014
722163,22.27003322,86.17696645
722179,24.05093082,86.18895122
722103,19.95101276,86.1825085
854339,26.40695806,87.01984096
756027,21.59723602,87.14763698
756028,21.64044372,87.01623789
713339,23.65313287,87.01743608
755021,20.77231089,86.13873587
814151,24.55076495,86.99481596
813109,24.95602085,87.03937459
853202,25.36910921,87.01859986
813107,24.99535868,87.00392367
757020,21.818584,86.99298227
813105,25.09044768,87.04278746
812010,20.26376737,86.12007136
823201,24.33102533,86.11802314
396301,23.96510808,86.06345617
